120,"AMSTERDAM HIGH SCHOOL","New York","New York","NY ","AMSTERDAM HIGH SCHOOL",360297000068,"AMSTERDAM CITY SCHOOL DISTRICT",3602970,"MONTGOMERY COUNTY",36057,"Reported 7 categories",36,"1986-2010",NULL,"140 SARATOGA AVE","AMSTERDAM","NY ",12010,670,"140 SARATOGA AVE","AMSTERDAM","NY ",12010,670,5188434932,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","41-Rural: Fringe","2-No","1-Yes","2-Eligible for Title I TAS provides TAS program","?",11220,"Albany-Schenectady-Amsterdam, NY",104,42.964586,-74.17292,270100010010,270100010000,3621,"2-No","?",0,0,0,0,0,0,0,0,0,0,0,303,281,266,240,83
503,"CANAJOHARIE SENIOR HIGH SCHOOL","New York","New York","NY ","CANAJOHARIE SENIOR HIGH SCHOOL",360630000411,"CANAJOHARIE CENTRAL SCHOOL DISTRICT",3606300,"MONTGOMERY COUNTY",36057,"Reported 7 categories",36,"1986-2010",NULL,"136 SCHOLASTIC WAY","CANAJOHARIE","NY ",13317,1197,"136 SCHOLASTIC WAY","CANAJOHARIE","NY ",13317,1197,5186736330,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","32-Town: Distant","2-No","1-Yes","2-Eligible for Title I TAS provides TAS program","?",11220,"Albany-Schenectady-Amsterdam, NY",104,42.897225,-74.563561,270301040002,270301040000,3621,"2-No","?",0,0,0,0,0,0,0,0,0,0,0,84,73,77,109,26
502,"CANAJOHARIE MIDDLE SCHOOL","New York","New York","NY ","CANAJOHARIE MIDDLE SCHOOL",360630000410,"CANAJOHARIE CENTRAL SCHOOL DISTRICT",3606300,"MONTGOMERY COUNTY",36057,"Reported 7 categories",36,"1986-2010",NULL,"25 SCHOOL DISTRICT RD","CANAJOHARIE","NY ",13317,1599,"25 SCHOOL DISTRICT RD","CANAJOHARIE","NY ",13317,1599,5186736320,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","32-Town: Distant","2-No","1-Yes","2-Eligible for Title I TAS provides TAS program","?",11220,"Albany-Schenectady-Amsterdam, NY",104,42.900405,-74.563305,270301040003,270301040000,3621,"2-No","?",0,0,0,0,0,0,0,0,64,91,72,0,0,0,0,16
826,"DAVID H ROBBINS ELEMENTARY SCHOOL","New York","New York","NY ","DAVID H ROBBINS ELEMENTARY SCHOOL",362793003788,"SAINT JOHNSVILLE CENTRAL SCHOOL DISTRICT",3627930,"MONTGOMERY COUNTY",36057,"Reported 7 categories",36,"1986-2010",NULL,"61 MONROE ST","ST JOHNSVILLE","NY ",13452,1127,"61 MONROE ST","ST JOHNSVILLE","NY ",13452,1127,5185687023,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","42-Rural: Distant","1-Yes","1-Yes","3-Eligible for Title I SWP provides TAS program","?",11220,"Albany-Schenectady-Amsterdam, NY",104,42.999209,-74.674029,271102040003,271102040000,3621,"2-No","?",0,0,34,28,43,43,41,33,27,0,0,0,0,0,0,20
945,"EAST HILL SCHOOL","New York","New York","NY ","EAST HILL SCHOOL",360630000412,"CANAJOHARIE CENTRAL SCHOOL DISTRICT",3606300,"MONTGOMERY COUNTY",36057,"Reported 7 categories",36,"1986-2010",NULL,"25 SCHOOL DISTRICT RD","CANAJOHARIE","NY ",13317,1599,"25 SCHOOL DISTRICT RD","CANAJOHARIE","NY ",13317,1599,5186736310,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","32-Town: Distant","1-Yes","1-Yes","3-Eligible for Title I SWP provides TAS program","?",11220,"Albany-Schenectady-Amsterdam, NY",104,42.900405,-74.563305,270301040004,270301040000,3621,"2-No","?",0,0,71,74,68,74,64,80,0,0,0,0,0,0,0,31
1135,"FONDA-FULTONVILLE K-4 SCHOOL","New York","New York","NY ","FONDA-FULTONVILLE K-4 SCHOOL",361119000888,"FONDA-FULTONVILLE CENTRAL SCHOOL DISTRICT",3611190,"MONTGOMERY COUNTY",36057,"Reported 7 categories",36,"1986-2010",NULL,"112 OLD JOHNSTOWN RD","FONDA","NY ",12068,1501,"PO BOX 1501","FONDA","NY ",12068,1501,5188533332,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","41-Rural: Fringe","1-Yes","1-Yes","5-Eligible for Title I SWP provides SWP program","?",11220,"Albany-Schenectady-Amsterdam, NY",104,42.958917,-74.369957,270601040001,270601040000,3621,"2-No","?",0,0,99,128,106,110,104,0,0,0,0,0,0,0,0,41
1136,"FONDA-FULTONVILLE SENIOR HIGH SCHOOL","New York","New York","NY ","FONDA-FULTONVILLE SENIOR HIGH SCHOOL",361119000887,"FONDA-FULTONVILLE CENTRAL SCHOOL DISTRICT",3611190,"MONTGOMERY COUNTY",36057,"Reported 7 categories",36,"1986-2010",NULL,"112 OLD JOHNSTOWN RD","FONDA","NY ",12068,1501,"PO BOX 1501","FONDA","NY ",12068,1501,5188533182,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","41-Rural: Fringe","1-Yes","1-Yes","5-Eligible for Title I SWP provides SWP program","?",11220,"Albany-Schenectady-Amsterdam, NY",104,42.958917,-74.369957,270601040002,270601040000,3621,"2-No","?",0,0,0,0,0,0,0,0,0,0,0,101,135,109,111,28
1134,"FONDA-FULTONVILLE 5-8 SCHOOL","New York","New York","NY ","FONDA-FULTONVILLE 5-8 SCHOOL",361119004586,"FONDA-FULTONVILLE CENTRAL SCHOOL DISTRICT",3611190,"MONTGOMERY COUNTY",36057,"Reported 7 categories",36,"1987-2010",1986,"112 OLD JOHNSTOWN RD","FONDA","NY ",12068,1501,"PO BOX 1501","FONDA","NY ",12068,1501,5188534747,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","41-Rural: Fringe","1-Yes","1-Yes","5-Eligible for Title I SWP provides SWP program","?",11220,"Albany-Schenectady-Amsterdam, NY",104,42.958917,-74.369957,270601040003,270601040000,3621,"2-No","?",0,0,0,0,0,0,3,87,125,94,103,0,0,0,0,29
1158,"FORT PLAIN JUNIOR-SENIOR HIGH SCHOOL","New York","New York","NY ","FORT PLAIN JUNIOR-SENIOR HIGH SCHOOL",361137000895,"FORT PLAIN CENTRAL SCHOOL DISTRICT",3611370,"MONTGOMERY COUNTY",36057,"Reported 7 categories",36,"1986-2010",NULL,"1 WEST ST","FORT PLAIN","NY ",13339,1218,"1 WEST ST","FORT PLAIN","NY ",13339,1218,5189934000,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","32-Town: Distant","?","2-No","6-Not eligible for either TAS or SWP","?",11220,"Albany-Schenectady-Amsterdam, NY",104,42.930847,-74.629553,270701040003,270701040000,3621,"2-No","?",0,0,0,0,0,0,0,0,0,58,64,55,62,65,59,30
1474,"HARRY HOAG SCHOOL","New York","New York","NY ","HARRY HOAG SCHOOL",361137000894,"FORT PLAIN CENTRAL SCHOOL DISTRICT",3611370,"MONTGOMERY COUNTY",36057,"Reported 7 categories",36,"1986-2010",NULL,"25 HIGH ST","FORT PLAIN","NY ",13339,1218,"25 HIGH ST","FORT PLAIN","NY ",13339,1218,5189934000,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","41-Rural: Fringe","1-Yes","1-Yes","3-Eligible for Title I SWP provides TAS program","?",11220,"Albany-Schenectady-Amsterdam, NY",104,42.932063,-74.634078,270701040001,270701040000,3621,"2-No","?",0,0,70,49,61,60,58,70,55,0,0,0,0,0,0,40
